Committee ID,Committee Name,Org type,Smaller Categories,Larger Categories,source,Connected Organization,country of origin
C00114702,OCEAN SPRAY CRANBERRIES INC. POLITICAL ACTION COMMITTEE,C,,Food & Beverage,,"OCEAN SPRAY CRANBERRIES, INC",
C00116020,VULCAN MATERIALS COMPANY POLITICAL ACTION COMMITTEE,C,,Construction,https://finance.yahoo.com/quote/VMC/profile?p=VMC,,
C00116996,LENNOX EMPLOYEE ADVOCACY PROGRAM LENNOX INTERNATIONAL INC,C,,Machinery,https://finance.yahoo.com/quote/LII/profile?p=LII,NONE,
C00117424,WESTROCK POLITICAL ACTION COMMITTEE,C,,Packaging,https://finance.yahoo.com/quote/WRK/profile?p=WRK,WESTROCK COMPANY,
C00117838,BAXTER HEALTHCARE CORPORATION POLITICAL ACTION COMMITTEE,C,Pharmaceutical,Health Care,https://biopharmasolutions.baxter.com/,,
C00118703,GATX CORPORATION GOOD GOVERNMENT PROGRAM,C,,Shipping ,https://www.gatx.com/wps/wcm/connect/GATX/GATX_SITE/Home/About/,GATX CORPORATION,
C00118943,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,W,Insurance,Wall Street,https://www.massmutual.com/,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,
C00119008,WASTE MANAGEMENT EMPLOYEES BETTER GOVERNMENT FUND,C,,Waste Management,https://finance.yahoo.com/quote/WM/profile?p=WM,WASTE MANAGEMENT,
C00119354,TENET HEALTHCARE CORPORATION POLITICAL ACTION COMMITTEE,C,,Health Care,https://www.tenethealth.com/about,TENET HEALTHCARE CORPORATION,
C00119776,GEORGIA POWER COMPANY FEDERAL PAC,C,Electric Utility,Fossil Fuels,https://www.bloomberg.com/profile/company/GPB:US,,
C00120006,"SECURIAN, INC PAC",C,Insurance,Wall Street,https://www.securian.com/,"SECURIAN, INC",
C00121319,THRIVENT FINANCIAL FOR LUTHERANS POLITICAL ACTION COMMITTEE,W,,Wall Street,,THRIVENT FINANCIAL FOR LUTHERANS,
C00121368,EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC),C,Oil/Gas,Fossil Fuels,https://finance.yahoo.com/quote/XOM/profile?p=XOM,EXXON MOBIL CORPORATION,
C00123612,TEXTRON INC. POLITICAL ACTION COMMITTEE,C,,Defense,https://finance.yahoo.com/quote/TXT/profile?p=TXT,BEECHCRAFT INC. POLITICAL ACTION COMMITTEE (BEECHCRAFT PAC),
C00123885,SIMMONS FIRST NATIONAL BANK POLITICAL ACTION COMMITTEE (SIMPAC) FEDERAL FUND,C,,Banking ,https://finance.yahoo.com/quote/SFNC/profile?p=SFNC,,
C00124016,HECLA MINING COMPANY/HECLA LIMITED PAC,C,,Gold,https://finance.yahoo.com/quote/HL/profile?p=HL,,
C00125641,INTEL CORPORATION EMPLOYEE GOVERNMENT ACTION FUND,C,,Big Tech,https://finance.yahoo.com/quote/HL/profile?p=HL,INTEL CORPORATION,
C00125732,BLACK HILLS CORPORATION POLITICAL ACTION COMMITTEE,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/BKH/profile?p=BKH,BLACK HILLS CORPORATION,
C00126466,DIAMOND FOODS LLC POLITICAL ACTION COMMITTEE,C,,Food & Beverage,https://www.linkedin.com/company/diamond-foods-inc.,,
C00126789,LONE ROCK TIMBER MANAGEMENT COMPANY POLITICAL ACTION COMMITTEE (LONE ROCK PAC),C,,Timber,https://www.lonerockresources.com/,LONE ROCK TIMBER MANAGEMENT CO,
C00126847,KAMAN CORP. GOOD GOVT. FUND,C,,Defense,https://finance.yahoo.com/quote/KAMN/profile?p=KAMN,KAMAN CORP.,
C00127258,"AIR PRODUCTS AND CHEMICALS, INC. POLITICAL ALLIANCE",C,,Chemicals,https://finance.yahoo.com/quote/APD/profile?p=APD,"AIR PRODUCTS AND CHEMICALS, INC.",
C00127779,PRUDENTIAL FINANCIAL INC. FEDERAL POLITICAL ACTION COMMITTEE (AKA - PRUDENTIAL FEDERAL PAC),C,Insurance,Wall Street,https://finance.yahoo.com/quote/PRU/profile?p=PRU,"PRUDENTIAL FINANCIAL, INC.",
C00128512,JPMORGAN CHASE & CO. PAC,C,,Banking ,,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,
C00128561,TOLL BROS. INC. PAC,C,,Construction,https://finance.yahoo.com/quote/TOL/profile?p=TOL,,
C00128918,PRINCIPAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,C,Insurance,Wall Street,https://finance.yahoo.com/quote/PFG/profile?p=PFG,PRINCIPAL LIFE INSURANCE COMPANY,
C00129122,"AEROJET ROCKETDYNE, INC PAC",C,,Defense,https://finance.yahoo.com/quote/AJRD/profile?p=AJRD,AEROJET ROCKETDYNE INC.,
C00130385,CENTRAL PACIFIC BANK FED PAC AKA; CPB PAC-FED,C,,Banking ,,,
C00132092,ALLIANT ENERGY CORPORATION EMPLOYEE'S POLITICAL ACTION COMM,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/LNT/profile?p=LNT,ALLIANT ENERGY CORPORATION,
C00135459,PARKER -HANNIFIN CORPORATION POLITICAL ACTION COMMITTEE,C,,Manufacturing,https://finance.yahoo.com/quote/PH/profile?p=PH,PARKER-HANNIFIN CORPORATION,
